Time,dateToday,dateByTomorrow,dateWithin3days,dateWithin7days,dateWithin14days,dateWithin30days,anyday,dateTodayProb,dateByTomorrowProb,dateWithin3daysProb,dateWithin7daysProb,dateWithin14daysProb,dateWithin30daysProb,anydayProb,dateTodayAve,dateByTomorrowAve,dateWithin3daysAve,dateWithin7daysAve,dateWithin14daysAve,dateWithin30daysAve,anydayAve
0:00:00,1,1,1,1,1,1,5,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.033,0.033,0.033,0.033,0.033,0.033,0.16667
0:10:00,2,3,3,3,3,7,11,0.01,0.02,0.02,0.02,0.02,0.05,0.08,0.067,0.100,0.100,0.100,0.100,0.233,0.367
0:20:00,5,5,5,5,5,6,8,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.167,0.167,0.167,0.167,0.167,0.200,0.267
0:30:00,1,1,1,1,1,2,8,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.033,0.033,0.033,0.033,0.033,0.067,0.267
0:40:00,1,1,2,2,2,3,3,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.033,0.033,0.067,0.067,0.067,0.100,0.100
0:50:00,4,4,4,4,4,5,6,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.133,0.133,0.133,0.133,0.133,0.167,0.200
1:00:00,2,2,2,2,2,3,3,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.067,0.067,0.067,0.067,0.067,0.100,0.100
1:10:00,1,1,2,2,2,3,4,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.033,0.033,0.067,0.067,0.067,0.100,0.133
1:20:00,2,2,2,2,2,2,4,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.067,0.067,0.067,0.067,0.067,0.067,0.133
1:30:00,2,2,3,4,4,4,4,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.067,0.067,0.100,0.133,0.133,0.133,0.133
1:40:00,0,0,0,0,1,1,1,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.000,0.000,0.000,0.000,0.033,0.033,0.033
1:50:00,2,2,2,2,2,3,6,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.067,0.067,0.067,0.067,0.067,0.100,0.200
2:00:00,2,2,2,2,2,2,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.067,0.067,0.067,0.067,0.067,0.067,0.067
2:10:00,2,2,2,3,3,3,3,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.067,0.067,0.067,0.100,0.100,0.100,0.100
2:20:00,7,9,9,9,11,11,13,0.05,0.06,0.06,0.06,0.08,0.08,0.09,0.233,0.300,0.300,0.300,0.367,0.367,0.433
2:30:00,2,3,3,3,3,3,3,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.067,0.100,0.100,0.100,0.100,0.100,0.100
2:40:00,6,8,8,8,8,8,8,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.200,0.267,0.267,0.267,0.267,0.267,0.267
2:50:00,3,4,4,4,4,5,5,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.100,0.133,0.133,0.133,0.133,0.167,0.167
3:00:00,5,6,6,6,6,6,7,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.167,0.200,0.200,0.200,0.200,0.200,0.233
3:10:00,1,1,1,1,1,2,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.067,0.067
3:20:00,6,6,6,6,6,7,7,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.200,0.200,0.200,0.200,0.200,0.233,0.233
3:30:00,1,1,1,2,2,3,3,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.033,0.033,0.033,0.067,0.067,0.100,0.100
3:40:00,2,2,2,2,2,3,3,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.067,0.067,0.067,0.067,0.067,0.100,0.100
3:50:00,1,2,2,3,3,3,3,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.033,0.067,0.067,0.100,0.100,0.100,0.100
4:00:00,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.033,0.033
4:10:00,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.067
4:20:00,2,2,2,2,2,2,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.067,0.067,0.067,0.067,0.067,0.067,0.067
4:30:00,1,1,1,1,1,1,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.033,0.067
4:40:00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4:50:00,0,0,1,1,1,1,1,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.000,0.000,0.033,0.033,0.033,0.033,0.033
5:00:00,1,1,1,1,1,1,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.033,0.067
5:10:00,1,1,1,1,1,1,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.033,0.067
5:20:00,6,6,6,6,6,6,8,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.200,0.200,0.200,0.200,0.200,0.200,0.267
5:30:00,2,2,2,2,2,2,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.067,0.067,0.067,0.067,0.067,0.067,0.067
5:40:00,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.033,0.033
5:50:00,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.033,0.033,0.033,0.033,0.033,0.033,0.033
