dateChecked,timeChecked,dateCheckedHour,dateCheckedMinute,dateCheckedDayOfWeek,dateCheckedDayOfMonth,checkMinSmall,appointmentDaysFound,earliestAppointmentDate,earliestAppointmentDelta,correcEarliestDelta,dateToday,dateByTomorrow,dateWithin3days,dateWithin7days,dateWithin14days,dateWithin30days,anyday,Time of day,Has appointments/100,Has appointments,Has appointments (14 days)
2021-09-12 00:00:00,0:00:00,0,0,6,12,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-13 00:00:00,0:00:00,0,0,0,13,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-14 00:00:00,0:00:00,0,0,1,14,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-15 00:00:00,0:00:00,0,0,2,15,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-16 00:00:00,0:00:00,0,0,3,16,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-17 00:00:00,0:00:00,0,0,4,17,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-18 00:00:00,0:00:00,0,0,5,18,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-19 00:00:00,0:00:00,0,0,6,19,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-20 00:00:00,0:00:00,0,0,0,20,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-21 00:00:00,0:00:00,0,0,1,21,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-22 00:00:00,0:00:00,0,0,2,22,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-23 00:00:00,0:00:00,0,0,3,23,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-24 00:00:00,0:00:00,0,0,4,24,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-25 00:00:00,0:00:00,0,0,5,25,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-26 00:00:00,0:00:00,0,0,6,26,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-27 00:00:00,0:00:00,0,0,0,27,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-28 00:00:00,0:00:00,0,0,1,28,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-29 00:00:00,0:00:00,0,0,2,29,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-30 00:00:00,0:00:00,0,0,3,30,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-01 00:00:00,0:00:00,0,0,4,1,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-02 00:00:00,0:00:00,0,0,5,2,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-03 00:00:00,0:00:00,0,0,6,3,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
